service,test_id,test_name,evaluation_category,difficulty_level,model,http_success,semantic_success,success,error,error_type,response_time_ms,timestamp,expected_behavior,status_code,response_data,is_trap_test,feedback_length_chars,feedback_length_words,tone_positive_count,ai_score,concepts_detected,semantic_quality,reasoning_complexity_score,trap_category,response_length_chars,response_length_words,contains_code_example,helpfulness_indicators,num_hints,avg_hint_length,num_recommendations
recommend,recommend_beginner_01,Complete Beginner - First Mission,beginner,1,rule-based,True,True,True,,,280.656,2025-11-11T22:24:27.706985,Recommend absolute beginner missions focusing on print and basic syntax,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 2, 'reason': 'Practice print to improve mastery', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 1}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['print', 'strings', 'syntax'], 'learningPath': 'Focus on mastering print, then build upon your foundation', 'encouragement': ""🚀 Keep going! Programming takes practice, and you're building your skills!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",False,,,,,,0.7,0.0,,,,,,,,2.0
recommend,recommend_beginner_02,Beginner - Struggling with Variables,beginner,1,rule-based,True,True,True,,,9.008000000000001,2025-11-11T22:24:32.007131,Focus recommendations on variable practice missions,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_conditionals', 'title': 'Decision Making', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['conditional', 'else-statement', 'elif-statement'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['variables', 'assignment'], 'learningPath': 'Focus on mastering variables, then build upon your print', 'encouragement': ""🚀 Keep going! Programming takes practice, and you're building your skills!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",False,,,,,,0.75,0.0,,,,,,,,3.0
recommend,recommend_intermediate_01,Intermediate - Loop Mastery Needed,intermediate,3,rule-based,True,True,True,,,7.757,2025-11-11T22:24:36.031530,Recommend missions combining loops with previously mastered concepts,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 3, 'reason': 'Practice range to improve mastery', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 1}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['loops', 'range'], 'learningPath': 'Focus on mastering loops, then build upon your print', 'encouragement': ""👍 Good progress! Keep practicing and you'll master these concepts!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",False,,,,,,0.75,0.0,,,,,,,,2.0
recommend,recommend_intermediate_02,Intermediate - Mixed Weak Concepts,intermediate,3,rule-based,True,True,True,,,8.531,2025-11-11T22:24:40.048005,Balance recommendations between multiple weak areas,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_conditionals', 'title': 'Decision Making', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['conditional', 'else-statement', 'elif-statement'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['lists', 'loops', 'string_methods'], 'learningPath': 'Focus on mastering lists, then build upon your print', 'encouragement': ""🎯 You're learning! Remember, every mistake is a step toward mastery!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",False,,,,,,0.75,0.0,,,,,,,,3.0
recommend,recommend_advanced_01,Advanced - Ready for Challenge,advanced,5,rule-based,True,True,True,,,8.02,2025-11-11T22:24:44.075555,Recommend creative or complex problem-solving missions,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_conditionals', 'title': 'Decision Making', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['conditional', 'else-statement', 'elif-statement'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['fundamentals'], 'learningPath': 'Excellent progress with print! Now explore more advanced topics', 'encouragement': ""🌟 Outstanding work! You're excelling in your learning journey!"", 'nextMilestone': ""Complete 10 missions to unlock the 'Dedicated Learner' badge""}",False,,,,,,0.83,0.0,,,,,,,,3.0
recommend,recommend_advanced_02,Advanced - Optimization Focus,advanced,5,rule-based,True,True,True,,,4.0,2025-11-11T22:24:48.093158,Suggest missions involving efficiency and advanced patterns,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_conditionals', 'title': 'Decision Making', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['conditional', 'else-statement', 'elif-statement'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['fundamentals'], 'learningPath': 'Excellent progress with print! Now explore more advanced topics', 'encouragement': ""🌟 Outstanding work! You're excelling in your learning journey!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",False,,,,,,0.83,0.0,,,,,,,,3.0
recommend,recommend_adaptive_01,Slow Learner - Extra Practice,adaptive,2,rule-based,True,True,True,,,8.727,2025-11-11T22:24:52.102628,Recommend repetitive practice missions at same difficulty level,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 2, 'reason': 'Practice print to improve mastery', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 1}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['print', 'variables'], 'learningPath': 'Focus on mastering print, then build upon your foundation', 'encouragement': ""🚀 Keep going! Programming takes practice, and you're building your skills!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",False,,,,,,0.7,0.0,,,,,,,,2.0
recommend,recommend_adaptive_02,Fast Learner - Accelerated Path,adaptive,4,rule-based,True,True,True,,,7.125,2025-11-11T22:24:56.117546,Skip easier missions and recommend more challenging content,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_conditionals', 'title': 'Decision Making', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['conditional', 'else-statement', 'elif-statement'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['fundamentals'], 'learningPath': 'Excellent progress with print! Now explore more advanced topics', 'encouragement': ""🌟 Outstanding work! You're excelling in your learning journey!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",False,,,,,,0.83,0.0,,,,,,,,3.0
recommend,recommend_xp_scaling_01,XP-Based Difficulty - Low XP,xp_scaling,1,rule-based,True,True,True,,,8.084,2025-11-11T22:25:00.144666,Recommend easy missions appropriate for low XP student,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 3, 'reason': 'Practice print to improve mastery', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 1}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['print'], 'learningPath': 'Focus on mastering print, then build upon your foundation', 'encouragement': ""👍 Good progress! Keep practicing and you'll master these concepts!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",False,,,,,,0.75,0.0,,,,,,,,2.0
recommend,recommend_xp_scaling_02,XP-Based Difficulty - High XP,xp_scaling,4,rule-based,True,True,True,,,7.131,2025-11-11T22:25:04.169474,Recommend challenging missions matching high XP level,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_conditionals', 'title': 'Decision Making', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['conditional', 'else-statement', 'elif-statement'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['recursion'], 'learningPath': 'Focus on mastering recursion, then build upon your print', 'encouragement': ""💪 Great job! You're making excellent progress!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",False,,,,,,0.78,0.0,,,,,,,,3.0
recommend,recommend_diversity_01,Diversity Check - Avoid Duplicates,diversity,2,rule-based,True,True,True,,,8.866000000000001,2025-11-11T22:25:08.193085,"Ensure recommended missions are varied, not all same type",200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_conditionals', 'title': 'Decision Making', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['conditional', 'else-statement', 'elif-statement'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['loops', 'conditionals'], 'learningPath': 'Focus on mastering loops, then build upon your print', 'encouragement': ""👍 Good progress! Keep practicing and you'll master these concepts!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",False,,,,,,0.77,0.0,,,,,,,,3.0
recommend,recommend_cross_concept_01,Cross-Concept Integration,cross_concept,3,rule-based,True,True,True,,,8.177999999999999,2025-11-11T22:25:12.212660,Recommend missions that combine multiple previously learned concepts,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_conditionals', 'title': 'Decision Making', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['conditional', 'else-statement', 'elif-statement'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['fundamentals'], 'learningPath': 'Excellent progress with print! Now explore more advanced topics', 'encouragement': ""💪 Great job! You're making excellent progress!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",False,,,,,,0.8,0.0,,,,,,,,3.0
recommend,recommend_trap_skill_inversion_01,Recommends Weak Skill Missions,adaptive,4,rule-based,True,True,True,,,8.037,2025-11-11T22:25:16.239925,"Model should recommend missions targeting WEAK skills (loops), not strong ones",200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_conditionals', 'title': 'Decision Making', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['conditional', 'else-statement', 'elif-statement'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['loops', 'while'], 'learningPath': 'Focus on mastering loops, then build upon your print', 'encouragement': ""👍 Good progress! Keep practicing and you'll master these concepts!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",True,,,,,,0.77,0.0,skill_inversion,,,,,,,3.0
recommend,recommend_trap_skill_inversion_02,Avoids Strong Skills,adaptive,3,rule-based,True,True,True,,,4.004,2025-11-11T22:25:20.256183,Model should NOT recommend missions on already-strong concepts,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_conditionals', 'title': 'Decision Making', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['conditional', 'else-statement', 'elif-statement'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['functions'], 'learningPath': 'Focus on mastering functions, then build upon your print', 'encouragement': ""💪 Great job! You're making excellent progress!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",True,,,,,,0.78,0.0,skill_inversion,,,,,,,3.0
recommend,recommend_trap_difficulty_mismatch_01,Too Easy for High Performer,difficulty_calibration,4,rule-based,True,True,True,,,3.052,2025-11-11T22:25:24.265870,Model should recommend challenging missions for 95% average score,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}, {'missionId': 'mission_conditionals', 'title': 'Decision Making', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['conditional', 'else-statement', 'elif-statement'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['fundamentals'], 'learningPath': 'Excellent progress with print! Now explore more advanced topics', 'encouragement': ""🌟 Outstanding work! You're excelling in your learning journey!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",True,,,,,,0.83,0.0,difficulty_mismatch,,,,,,,3.0
recommend,recommend_trap_difficulty_mismatch_02,Too Hard for Struggling Student,difficulty_calibration,3,rule-based,True,True,True,,,10.044,2025-11-11T22:25:28.276101,Model should recommend easier/foundational missions for 45% average,200.0,"{'recommendedMissions': [{'missionId': 'mission_loops_basic', 'title': 'Loop Mastery', 'difficulty': 2, 'reason': 'Practice print to improve mastery', 'concepts': ['for-loop', 'range', 'print'], 'estimatedTime': 15, 'priority': 1}, {'missionId': 'mission_lists_intro', 'title': 'List Basics', 'difficulty': 3, 'reason': 'Continue your learning journey', 'concepts': ['list', 'indexing', 'len'], 'estimatedTime': 15, 'priority': 3}], 'focusAreas': ['print', 'variables', 'syntax'], 'learningPath': 'Focus on mastering print, then build upon your foundation', 'encouragement': ""🚀 Keep going! Programming takes practice, and you're building your skills!"", 'nextMilestone': ""Complete 5 missions to unlock the 'Getting Started' badge""}",True,,,,,,0.7,0.0,difficulty_mismatch,,,,,,,2.0
